Thời gian,Bức xạ (W/m2),Nhiệt độ môi trường (°C),Nhiệt độ tấm pin (°C),Tốc độ gió (m/s)
2026-08-27 00:56:00,0.0,24.0,24.0,2.2
2026-08-27 00:57:00,0.0,24.1,24.1,1.9
2026-08-27 00:58:00,0.0,24.3,24.3,2.4
2026-08-27 00:59:00,0.0,24.0,24.0,1.9
2026-08-27 01:00:00,0.0,23.9,23.9,1.6
2026-08-27 01:01:00,0.0,24.1,24.1,2.2
2026-08-27 01:02:00,0.0,24.3,24.3,2.3
2026-08-27 01:03:00,0.0,23.8,23.8,2.0
2026-08-27 01:04:00,0.0,24.1,24.1,2.9
2026-08-27 01:05:00,0.0,24.3,24.3,1.9
2026-08-27 01:06:00,0.0,24.0,24.0,1.2
2026-08-27 01:07:00,0.0,24.4,24.4,1.5
2026-08-27 01:08:00,0.0,24.0,24.0,2.8
2026-08-27 01:09:00,0.0,24.0,24.0,1.9
2026-08-27 01:10:00,0.0,24.1,24.1,1.6
2026-08-27 01:11:00,0.0,23.8,23.8,1.9
2026-08-27 01:12:00,0.0,24.4,24.4,2.3
2026-08-27 01:13:00,0.0,24.0,24.0,2.4
2026-08-27 01:14:00,0.0,24.2,24.2,2.2
2026-08-27 01:15:00,0.0,23.8,23.8,2.7
2026-08-27 01:16:00,0.0,23.9,23.9,2.1
2026-08-27 01:17:00,0.0,24.5,24.5,1.4
2026-08-27 01:18:00,0.0,24.1,24.1,1.8
2026-08-27 01:19:00,0.0,23.9,23.9,2.1
2026-08-27 01:20:00,0.0,23.9,23.9,2.3
2026-08-27 01:21:00,0.0,24.1,24.1,2.4
2026-08-27 01:22:00,0.0,24.0,24.0,1.6
2026-08-27 01:23:00,0.0,23.9,23.9,3.3
2026-08-27 01:24:00,0.0,24.3,24.3,2.1
2026-08-27 01:25:00,0.0,23.9,23.9,1.4
2026-08-27 01:26:00,0.0,23.9,23.9,2.5
2026-08-27 01:27:00,0.0,23.8,23.8,2.3
2026-08-27 01:28:00,0.0,24.1,24.1,2.5
2026-08-27 01:29:00,0.0,23.9,23.9,2.6
2026-08-27 01:30:00,0.0,24.1,24.1,2.1
2026-08-27 01:31:00,0.0,24.3,24.3,1.4
2026-08-27 01:32:00,0.0,24.0,24.0,1.5
2026-08-27 01:33:00,0.0,24.1,24.1,1.8
2026-08-27 01:34:00,0.0,24.1,24.1,3.0
2026-08-27 01:35:00,0.0,24.1,24.1,2.6
2026-08-27 01:36:00,0.0,23.8,23.8,2.0
2026-08-27 01:37:00,0.0,23.9,23.9,1.7
2026-08-27 01:38:00,0.0,24.2,24.2,1.6
2026-08-27 01:39:00,0.0,23.8,23.8,1.3
2026-08-27 01:40:00,0.0,23.9,23.9,2.2
2026-08-27 01:41:00,0.0,24.0,24.0,1.8
2026-08-27 01:42:00,0.0,23.9,23.9,1.6
2026-08-27 01:43:00,0.0,23.8,23.8,1.4
2026-08-27 01:44:00,0.0,23.6,23.6,2.4
2026-08-27 01:45:00,0.0,24.5,24.5,2.4
2026-08-27 01:46:00,0.0,23.9,23.9,2.5
2026-08-27 01:47:00,0.0,23.6,23.6,2.3
2026-08-27 01:48:00,0.0,24.5,24.5,2.8
2026-08-27 01:49:00,0.0,23.7,23.7,3.0
2026-08-27 01:50:00,0.0,24.0,24.0,1.4
2026-08-27 01:51:00,0.0,24.0,24.0,2.1
2026-08-27 01:52:00,0.0,24.0,24.0,1.6
2026-08-27 01:53:00,0.0,23.8,23.8,2.4
2026-08-27 01:54:00,0.0,24.1,24.1,2.8
2026-08-27 01:55:00,0.0,23.9,23.9,1.5
2026-08-27 01:56:00,0.0,24.1,24.1,2.2
2026-08-27 01:57:00,0.0,23.9,23.9,2.7
2026-08-27 01:58:00,0.0,24.1,24.1,2.6
2026-08-27 01:59:00,0.0,24.1,24.1,2.6
2026-08-27 02:00:00,0.0,24.0,24.0,1.6
2026-08-27 02:01:00,0.0,24.3,24.3,2.1
2026-08-27 02:02:00,0.0,23.9,23.9,2.2
2026-08-27 02:03:00,0.0,24.2,24.2,1.4
2026-08-27 02:04:00,0.0,24.1,24.1,2.2
2026-08-27 02:05:00,0.0,24.0,24.0,2.3
2026-08-27 02:06:00,0.0,23.9,23.9,3.1
2026-08-27 02:07:00,0.0,23.7,23.7,2.0
2026-08-27 02:08:00,0.0,24.3,24.3,2.1
2026-08-27 02:09:00,0.0,23.9,23.9,2.1
2026-08-27 02:10:00,0.0,24.2,24.2,1.3
2026-08-27 02:11:00,0.0,24.1,24.1,1.7
2026-08-27 02:12:00,0.0,23.7,23.7,2.5
2026-08-27 02:13:00,0.0,23.9,23.9,1.8
2026-08-27 02:14:00,0.0,24.1,24.1,2.3
2026-08-27 02:15:00,0.0,23.9,23.9,2.4
2026-08-27 02:16:00,0.0,24.3,24.3,1.7
2026-08-27 02:17:00,0.0,24.0,24.0,1.5
2026-08-27 02:18:00,0.0,24.3,24.3,2.1
2026-08-27 02:19:00,0.0,23.6,23.6,1.1
2026-08-27 02:20:00,0.0,24.0,24.0,1.9
2026-08-27 02:21:00,0.0,23.9,23.9,1.6
2026-08-27 02:22:00,0.0,24.2,24.2,2.0
2026-08-27 02:23:00,0.0,24.0,24.0,1.1
2026-08-27 02:24:00,0.0,24.1,24.1,2.6
2026-08-27 02:25:00,0.0,23.7,23.7,1.4
2026-08-27 02:26:00,0.0,24.1,24.1,1.9
2026-08-27 02:27:00,0.0,23.8,23.8,2.2
2026-08-27 02:28:00,0.0,23.8,23.8,2.2
2026-08-27 02:29:00,0.0,23.9,23.9,1.5
2026-08-27 02:30:00,0.0,24.3,24.3,2.4
2026-08-27 02:31:00,0.0,24.2,24.2,1.8
2026-08-27 02:32:00,0.0,24.2,24.2,2.1
2026-08-27 02:33:00,0.0,24.2,24.2,1.6
2026-08-27 02:34:00,0.0,23.9,23.9,1.1
2026-08-27 02:35:00,0.0,23.9,23.9,2.0
2026-08-27 02:36:00,0.0,23.8,23.8,2.6
2026-08-27 02:37:00,0.0,24.0,24.0,1.9
2026-08-27 02:38:00,0.0,24.1,24.1,1.3
2026-08-27 02:39:00,0.0,23.9,23.9,2.1
2026-08-27 02:40:00,0.0,23.9,23.9,1.1
2026-08-27 02:41:00,0.0,24.2,24.2,0.9
2026-08-27 02:42:00,0.0,24.2,24.2,1.8
2026-08-27 02:43:00,0.0,24.0,24.0,3.1
2026-08-27 02:44:00,0.0,24.1,24.1,2.6
2026-08-27 02:45:00,0.0,23.6,23.6,1.4
2026-08-27 02:46:00,0.0,23.9,23.9,3.4
2026-08-27 02:47:00,0.0,24.0,24.0,2.3
2026-08-27 02:48:00,0.0,24.0,24.0,1.5
2026-08-27 02:49:00,0.0,24.2,24.2,1.8
2026-08-27 02:50:00,0.0,24.1,24.1,2.1
2026-08-27 02:51:00,0.0,23.8,23.8,1.4
2026-08-27 02:52:00,0.0,23.5,23.5,1.8
2026-08-27 02:53:00,0.0,23.8,23.8,1.9
2026-08-27 02:54:00,0.0,24.1,24.1,2.0
2026-08-27 02:55:00,0.0,24.3,24.3,2.4
2026-08-27 02:56:00,0.0,24.1,24.1,1.7
2026-08-27 02:57:00,0.0,24.2,24.2,2.3
2026-08-27 02:58:00,0.0,24.0,24.0,2.3
2026-08-27 02:59:00,0.0,24.0,24.0,2.5
2026-08-27 03:00:00,0.0,23.9,23.9,2.5
2026-08-27 03:01:00,0.0,24.0,24.0,1.8
2026-08-27 03:02:00,0.0,24.2,24.2,2.4
2026-08-27 03:03:00,0.0,23.9,23.9,1.2
2026-08-27 03:04:00,0.0,24.1,24.1,2.0
2026-08-27 03:05:00,0.0,24.0,24.0,2.6
2026-08-27 03:06:00,0.0,24.1,24.1,2.3
2026-08-27 03:07:00,0.0,24.1,24.1,2.4
2026-08-27 03:08:00,0.0,23.9,23.9,2.4
2026-08-27 03:09:00,0.0,23.8,23.8,0.5
2026-08-27 03:10:00,0.0,23.9,23.9,1.5
2026-08-27 03:11:00,0.0,23.9,23.9,1.5
2026-08-27 03:12:00,0.0,24.1,24.1,1.2
2026-08-27 03:13:00,0.0,24.2,24.2,1.8
2026-08-27 03:14:00,0.0,24.0,24.0,1.5
2026-08-27 03:15:00,0.0,24.1,24.1,2.0
2026-08-27 03:16:00,0.0,24.0,24.0,1.4
2026-08-27 03:17:00,0.0,24.0,24.0,2.5
2026-08-27 03:18:00,0.0,24.3,24.3,2.5
2026-08-27 03:19:00,0.0,24.0,24.0,2.2
2026-08-27 03:20:00,0.0,23.9,23.9,1.7
2026-08-27 03:21:00,0.0,23.9,23.9,1.6
2026-08-27 03:22:00,0.0,23.9,23.9,1.6
2026-08-27 03:23:00,0.0,23.9,23.9,2.5
2026-08-27 03:24:00,0.0,24.1,24.1,2.7
2026-08-27 03:25:00,0.0,23.8,23.8,2.9
2026-08-27 03:26:00,0.0,24.1,24.1,2.1
2026-08-27 03:27:00,0.0,23.7,23.7,2.0
2026-08-27 03:28:00,0.0,23.7,23.7,1.6
2026-08-27 03:29:00,0.0,23.9,23.9,1.6
2026-08-27 03:30:00,0.0,23.9,23.9,2.3
2026-08-27 03:31:00,0.0,23.9,23.9,2.9
2026-08-27 03:32:00,0.0,23.9,23.9,0.8
2026-08-27 03:33:00,0.0,24.1,24.1,2.5
2026-08-27 03:34:00,0.0,23.8,23.8,1.5
2026-08-27 03:35:00,0.0,23.7,23.7,1.9
2026-08-27 03:36:00,0.0,24.0,24.0,1.6
2026-08-27 03:37:00,0.0,24.1,24.1,2.7
2026-08-27 03:38:00,0.0,24.0,24.0,1.1
2026-08-27 03:39:00,0.0,23.7,23.7,1.6
2026-08-27 03:40:00,0.0,24.1,24.1,1.8
2026-08-27 03:41:00,0.0,24.2,24.2,1.6
2026-08-27 03:42:00,0.0,24.0,24.0,1.7
2026-08-27 03:43:00,0.0,24.3,24.3,1.5
2026-08-27 03:44:00,0.0,23.7,23.7,2.0
2026-08-27 03:45:00,0.0,24.0,24.0,1.5
2026-08-27 03:46:00,0.0,23.6,23.6,1.3
2026-08-27 03:47:00,0.0,23.9,23.9,2.5
2026-08-27 03:48:00,0.0,24.0,24.0,1.7
2026-08-27 03:49:00,0.0,23.9,23.9,2.1
2026-08-27 03:50:00,0.0,24.2,24.2,1.9
2026-08-27 03:51:00,0.0,24.0,24.0,1.3
2026-08-27 03:52:00,0.0,24.2,24.2,1.6
2026-08-27 03:53:00,0.0,23.6,23.6,2.2
2026-08-27 03:54:00,0.0,24.1,24.1,2.5
2026-08-27 03:55:00,0.0,23.9,23.9,2.2
2026-08-27 03:56:00,0.0,23.8,23.8,1.9
2026-08-27 03:57:00,0.0,24.0,24.0,2.4
2026-08-27 03:58:00,0.0,23.9,23.9,1.6
2026-08-27 03:59:00,0.0,24.1,24.1,2.3
2026-08-27 04:00:00,0.0,24.0,24.0,2.2
2026-08-27 04:01:00,0.0,23.9,23.9,2.5
2026-08-27 04:02:00,0.0,23.8,23.8,1.8
2026-08-27 04:03:00,0.0,24.3,24.3,2.4
2026-08-27 04:04:00,0.0,24.1,24.1,1.7
2026-08-27 04:05:00,0.0,24.2,24.2,1.9
2026-08-27 04:06:00,0.0,24.1,24.1,2.1
2026-08-27 04:07:00,0.0,23.9,23.9,1.5
2026-08-27 04:08:00,0.0,24.1,24.1,1.6
2026-08-27 04:09:00,0.0,23.9,23.9,1.9
2026-08-27 04:10:00,0.0,24.1,24.1,2.0
2026-08-27 04:11:00,0.0,23.9,23.9,1.8
2026-08-27 04:12:00,0.0,24.0,24.0,2.1
2026-08-27 04:13:00,0.0,24.1,24.1,2.0
2026-08-27 04:14:00,0.0,24.0,24.0,1.2
2026-08-27 04:15:00,0.0,24.0,24.0,2.6
2026-08-27 04:16:00,0.0,24.4,24.4,1.9
2026-08-27 04:17:00,0.0,24.2,24.2,2.3
2026-08-27 04:18:00,0.0,24.1,24.1,2.1
2026-08-27 04:19:00,0.0,24.0,24.0,1.4
2026-08-27 04:20:00,0.0,24.0,24.0,1.0
2026-08-27 04:21:00,0.0,24.1,24.1,2.2
2026-08-27 04:22:00,0.0,24.0,24.0,1.9
2026-08-27 04:23:00,0.0,24.2,24.2,2.3
2026-08-27 04:24:00,0.0,24.2,24.2,2.7
2026-08-27 04:25:00,0.0,23.1,23.1,1.8
2026-08-27 04:26:00,0.0,24.0,24.0,2.0
2026-08-27 04:27:00,0.0,23.9,23.9,1.9
2026-08-27 04:28:00,0.0,24.1,24.1,1.5
2026-08-27 04:29:00,0.0,24.1,24.1,1.7
2026-08-27 04:30:00,0.0,23.9,23.9,1.2
2026-08-27 04:31:00,0.0,24.1,24.1,1.7
2026-08-27 04:32:00,0.0,23.9,23.9,2.5
2026-08-27 04:33:00,0.0,24.1,24.1,1.8
2026-08-27 04:34:00,0.0,24.1,24.1,1.2
2026-08-27 04:35:00,0.0,23.9,23.9,2.6
2026-08-27 04:36:00,0.0,24.0,24.0,1.4
2026-08-27 04:37:00,0.0,24.0,24.0,1.9
2026-08-27 04:38:00,0.0,24.2,24.2,1.7
2026-08-27 04:39:00,0.0,24.3,24.3,2.1
2026-08-27 04:40:00,0.0,24.3,24.3,1.7
2026-08-27 04:41:00,0.0,24.1,24.1,2.1
2026-08-27 04:42:00,0.0,23.7,23.7,3.2
2026-08-27 04:43:00,0.0,24.3,24.3,2.9
2026-08-27 04:44:00,0.0,23.8,23.8,1.0
2026-08-27 04:45:00,0.0,24.1,24.1,2.2
2026-08-27 04:46:00,0.0,24.0,24.0,2.5
2026-08-27 04:47:00,0.0,23.9,23.9,1.7
2026-08-27 04:48:00,0.0,24.3,24.3,1.3
2026-08-27 04:49:00,0.0,24.2,24.2,2.5
2026-08-27 04:50:00,0.0,24.0,24.0,1.6
2026-08-27 04:51:00,0.0,24.1,24.1,1.2
2026-08-27 04:52:00,0.0,23.6,23.6,2.4
2026-08-27 04:53:00,0.0,23.5,23.5,1.7
2026-08-27 04:54:00,0.0,24.1,24.1,1.4
2026-08-27 04:55:00,0.0,24.1,24.1,1.9
2026-08-27 04:56:00,0.0,24.1,24.1,2.6
2026-08-27 04:57:00,0.0,23.8,23.8,2.2
2026-08-27 04:58:00,0.0,23.9,23.9,2.3
2026-08-27 04:59:00,0.0,24.1,24.1,1.7
2026-08-27 05:00:00,0.0,24.0,24.0,2.6
2026-08-27 05:01:00,0.0,24.1,24.1,2.1
2026-08-27 05:02:00,0.0,24.1,24.1,1.7
2026-08-27 05:03:00,0.0,24.3,24.3,1.9
2026-08-27 05:04:00,0.0,24.2,24.2,1.6
2026-08-27 05:05:00,0.0,23.9,23.9,1.5
2026-08-27 05:06:00,0.0,23.8,23.8,2.6
2026-08-27 05:07:00,0.0,24.4,24.4,2.4
2026-08-27 05:08:00,0.0,23.9,23.9,2.4
2026-08-27 05:09:00,0.0,24.0,24.0,1.8
2026-08-27 05:10:00,0.0,24.1,24.1,2.4
2026-08-27 05:11:00,0.0,23.8,23.8,2.2
2026-08-27 05:12:00,0.0,23.7,23.7,2.7
2026-08-27 05:13:00,0.0,24.1,24.1,2.7
2026-08-27 05:14:00,0.0,24.1,24.1,1.7
2026-08-27 05:15:00,0.0,24.0,24.0,2.3
2026-08-27 05:16:00,0.0,24.0,24.0,1.4
2026-08-27 05:17:00,0.0,23.8,23.8,1.0
2026-08-27 05:18:00,0.0,23.8,23.8,1.8
2026-08-27 05:19:00,0.0,24.1,24.1,2.1
2026-08-27 05:20:00,0.0,23.6,23.6,3.0
2026-08-27 05:21:00,0.0,23.9,23.9,2.0
2026-08-27 05:22:00,0.0,24.1,24.1,2.3
2026-08-27 05:23:00,0.0,24.0,24.0,2.1
2026-08-27 05:24:00,0.0,24.1,24.1,2.2
2026-08-27 05:25:00,0.0,24.1,24.1,2.6
2026-08-27 05:26:00,0.0,23.8,23.8,2.8
2026-08-27 05:27:00,0.0,24.0,24.0,2.2
2026-08-27 05:28:00,0.0,24.0,24.0,1.7
2026-08-27 05:29:00,0.0,24.0,24.0,2.6
2026-08-27 05:30:00,0.0,24.1,24.1,2.1
2026-08-27 05:31:00,0.0,24.1,24.1,1.0
2026-08-27 05:32:00,0.0,24.2,24.2,1.6
2026-08-27 05:33:00,0.0,23.9,23.9,1.3
2026-08-27 05:34:00,0.0,23.8,23.8,1.4
2026-08-27 05:35:00,0.0,24.1,24.1,2.0
2026-08-27 05:36:00,0.0,24.1,24.1,2.2
2026-08-27 05:37:00,0.0,23.8,23.8,1.7
2026-08-27 05:38:00,0.0,23.9,23.9,1.6
2026-08-27 05:39:00,0.0,23.8,23.8,2.1
2026-08-27 05:40:00,0.0,24.2,24.2,2.2
2026-08-27 05:41:00,0.0,24.2,24.2,2.6
2026-08-27 05:42:00,0.0,24.2,24.2,2.9
2026-08-27 05:43:00,0.0,23.7,23.7,2.2
2026-08-27 05:44:00,0.0,23.9,23.9,1.9
2026-08-27 05:45:00,51.4,24.3,27.1,3.4
2026-08-27 05:46:00,0.4,24.5,24.4,2.2
2026-08-27 05:47:00,0.0,24.3,24.5,4.0
2026-08-27 05:48:00,0.0,24.2,25.0,3.2
2026-08-27 05:49:00,0.0,24.5,24.3,4.0
2026-08-27 05:50:00,71.7,24.4,26.5,4.1
2026-08-27 05:51:00,0.0,24.4,25.6,2.8
2026-08-27 05:52:00,24.2,24.7,25.3,3.3
2026-08-27 05:53:00,0.0,24.4,24.7,4.5
2026-08-27 05:54:00,32.5,24.8,26.3,4.1
2026-08-27 05:55:00,17.8,24.2,25.1,3.9
2026-08-27 05:56:00,0.0,24.5,24.5,5.3
2026-08-27 05:57:00,0.2,24.7,25.0,4.4
2026-08-27 05:58:00,6.3,24.6,25.7,3.2
2026-08-27 05:59:00,53.0,24.6,26.0,1.7
2026-08-27 06:00:00,68.2,24.5,26.1,1.6
2026-08-27 06:01:00,58.5,24.4,26.1,4.5
2026-08-27 06:02:00,49.8,24.4,25.9,3.7
2026-08-27 06:03:00,64.7,24.4,27.2,3.9
2026-08-27 06:04:00,26.0,24.5,25.5,3.1
2026-08-27 06:05:00,66.4,24.6,27.1,5.2
2026-08-27 06:06:00,58.4,24.3,26.6,3.8
2026-08-27 06:07:00,60.7,24.2,25.4,2.6
2026-08-27 06:08:00,77.9,24.5,27.3,2.6
2026-08-27 06:09:00,28.4,24.8,24.9,1.4
2026-08-27 06:10:00,28.5,24.3,25.0,4.3
2026-08-27 06:11:00,109.1,24.9,28.7,2.9
2026-08-27 06:12:00,66.2,24.4,26.0,3.9
2026-08-27 06:13:00,114.6,24.8,28.1,3.9
2026-08-27 06:14:00,88.4,24.3,27.3,2.8
2026-08-27 06:15:00,94.6,24.4,27.4,2.0
2026-08-27 06:16:00,145.8,24.4,28.5,4.7
2026-08-27 06:17:00,105.7,24.3,28.3,3.6
2026-08-27 06:18:00,87.4,24.5,27.0,3.4
2026-08-27 06:19:00,95.1,24.6,28.3,5.3
2026-08-27 06:20:00,136.0,24.4,28.8,4.3
2026-08-27 06:21:00,68.9,24.9,27.2,1.8
2026-08-27 06:22:00,95.1,24.7,27.6,5.0
2026-08-27 06:23:00,77.5,24.4,27.5,2.3
2026-08-27 06:24:00,105.7,24.7,28.4,4.3
2026-08-27 06:25:00,126.5,24.5,28.5,4.4
2026-08-27 06:26:00,123.4,24.8,28.9,3.6
2026-08-27 06:27:00,94.7,24.6,27.6,2.8
2026-08-27 06:28:00,147.2,24.1,28.0,4.2
2026-08-27 06:29:00,160.5,24.5,29.8,2.0
2026-08-27 06:30:00,158.2,24.7,29.6,3.9
2026-08-27 06:31:00,204.7,24.3,30.0,3.4
2026-08-27 06:32:00,183.4,24.5,30.9,4.8
2026-08-27 06:33:00,151.8,24.4,29.5,4.5
2026-08-27 06:34:00,279.4,24.7,33.5,2.9
2026-08-27 06:35:00,124.7,24.5,27.4,4.7
2026-08-27 06:36:00,144.0,24.2,28.4,4.4
2026-08-27 06:37:00,167.0,24.4,30.1,2.3
2026-08-27 06:38:00,120.9,24.3,27.9,4.9
2026-08-27 06:39:00,240.5,24.3,31.7,4.5
2026-08-27 06:40:00,152.6,24.6,29.2,4.2
2026-08-27 06:41:00,165.4,24.7,29.5,3.6
2026-08-27 06:42:00,198.8,24.4,30.9,3.2
2026-08-27 06:43:00,215.3,24.2,30.1,4.7
2026-08-27 06:44:00,166.6,24.8,29.8,4.1
2026-08-27 06:45:00,174.9,24.7,29.9,2.7
2026-08-27 06:46:00,218.9,24.7,32.1,3.1
2026-08-27 06:47:00,220.3,24.7,31.8,2.0
2026-08-27 06:48:00,268.6,24.5,32.9,3.8
2026-08-27 06:49:00,237.7,24.5,31.6,2.7
2026-08-27 06:50:00,242.5,24.7,32.7,3.5
2026-08-27 06:51:00,248.6,24.7,32.0,2.6
2026-08-27 06:52:00,242.7,24.4,32.0,2.2
2026-08-27 06:53:00,203.7,24.8,31.3,2.7
2026-08-27 06:54:00,250.6,24.4,32.4,3.9
2026-08-27 06:55:00,238.2,24.4,32.0,4.4
2026-08-27 06:56:00,208.0,24.4,30.4,2.9
2026-08-27 06:57:00,262.7,24.3,32.4,2.2
2026-08-27 06:58:00,227.0,24.4,31.4,3.7
2026-08-27 06:59:00,298.1,24.4,34.2,3.2
2026-08-27 07:00:00,255.1,24.1,31.8,3.2
2026-08-27 07:01:00,311.3,24.7,34.3,3.3
2026-08-27 07:02:00,256.0,24.3,32.6,2.7
2026-08-27 07:03:00,294.0,24.2,33.4,4.3
2026-08-27 07:04:00,283.1,24.9,33.8,1.8
2026-08-27 07:05:00,264.0,24.9,32.9,4.7
2026-08-27 07:06:00,288.1,24.9,32.9,5.2
2026-08-27 07:07:00,301.0,24.9,34.3,3.4
2026-08-27 07:08:00,311.4,24.8,33.9,1.4
2026-08-27 07:09:00,258.9,24.6,33.0,4.3
2026-08-27 07:10:00,329.1,24.7,34.6,3.0
2026-08-27 07:11:00,315.2,25.1,35.1,2.9
2026-08-27 07:12:00,327.1,25.0,35.0,4.0
2026-08-27 07:13:00,295.9,25.0,33.7,3.5
2026-08-27 07:14:00,281.1,24.8,34.3,3.1
2026-08-27 07:15:00,301.7,25.0,34.4,4.8
2026-08-27 07:16:00,364.1,25.0,36.0,3.2
2026-08-27 07:17:00,259.4,25.3,33.7,4.4
2026-08-27 07:18:00,331.1,25.3,36.5,1.8
2026-08-27 07:19:00,388.8,25.3,37.0,4.4
2026-08-27 07:20:00,341.7,25.5,36.9,4.9
2026-08-27 07:21:00,354.2,25.4,36.7,3.9
2026-08-27 07:22:00,316.8,25.3,35.6,2.9
2026-08-27 07:23:00,380.4,25.4,37.4,2.8
2026-08-27 07:24:00,381.6,25.5,38.1,4.7
2026-08-27 07:25:00,353.3,25.5,36.9,5.4
2026-08-27 07:26:00,360.8,25.8,37.5,3.0
2026-08-27 07:27:00,354.7,25.2,35.4,3.7
2026-08-27 07:28:00,430.3,25.7,39.4,4.7
2026-08-27 07:29:00,441.5,26.1,39.8,4.9
2026-08-27 07:30:00,414.0,25.9,39.2,4.2
2026-08-27 07:31:00,421.5,25.9,38.3,3.8
2026-08-27 07:32:00,395.0,25.9,38.2,2.7
2026-08-27 07:33:00,407.4,26.0,38.0,3.6
2026-08-27 07:34:00,451.6,26.0,39.8,4.6
2026-08-27 07:35:00,351.1,25.7,37.0,1.7
2026-08-27 07:36:00,394.0,25.8,38.4,4.1
2026-08-27 07:37:00,402.3,25.8,38.4,2.4
2026-08-27 07:38:00,412.0,25.9,38.5,5.1
2026-08-27 07:39:00,456.1,25.6,40.0,4.2
2026-08-27 07:40:00,445.7,26.2,39.9,2.5
2026-08-27 07:41:00,450.9,26.1,40.2,1.7
2026-08-27 07:42:00,465.3,26.1,41.5,4.7
2026-08-27 07:43:00,460.6,26.3,41.3,3.2
2026-08-27 07:44:00,415.8,26.5,39.1,3.7
2026-08-27 07:45:00,467.6,26.4,40.9,2.7
2026-08-27 07:46:00,401.6,25.9,38.6,3.6
2026-08-27 07:47:00,470.4,26.4,41.6,1.9
2026-08-27 07:48:00,469.0,26.2,40.7,3.8
2026-08-27 07:49:00,450.1,26.5,39.4,4.4
2026-08-27 07:50:00,474.9,26.4,42.3,3.2
2026-08-27 07:51:00,415.9,26.7,39.5,3.6
2026-08-27 07:52:00,519.9,26.6,44.0,2.8
2026-08-27 07:53:00,487.7,26.4,40.7,4.5
2026-08-27 07:54:00,525.4,26.5,43.5,2.8
2026-08-27 07:55:00,417.5,26.7,39.9,3.4
2026-08-27 07:56:00,458.8,26.9,41.0,1.6
2026-08-27 07:57:00,506.0,26.4,41.7,1.1
