WEATHER STATION;PLANT;;;;STATION-02-;WEATHER STAT;ION;;;;;;;STATION-06-;WEATHER STAT;ION;;;;
26/08/26 01:49;0.000;0.000;2.121;0.017;-0.01;1076.410;25.457;70.324;0.000;25.457;263.528;2.48;0.035;0.01;1076.410;25.383;70.188;0.000;25.383;
26/08/26 01:50;0.000;0.000;2.665;0.003;-0.008;1076.410;25.451;70.324;0.000;25.451;263.528;2.369;0.028;0.012;1076.410;25.463;70.188;0.000;25.463;
26/08/26 01:51;0.000;0.000;1.947;-0.035;0.026;1076.410;25.554;70.324;0.000;25.554;263.528;3.063;0.025;-0.011;1076.410;25.459;70.188;0.000;25.459;
26/08/26 01:52;0.000;0.000;2.304;-0.014;-0.005;1076.410;25.606;70.324;0.000;25.606;263.528;2.271;-0.016;0.001;1076.410;25.331;70.188;0.000;25.331;
26/08/26 01:53;0.000;0.000;2.053;-0.01;0.015;1076.410;25.295;70.324;0.000;25.295;263.528;2.185;-0.003;0.01;1076.410;25.321;70.188;0.000;25.321;
26/08/26 01:54;0.000;0.000;1.771;-0.049;0.019;1076.410;25.53;70.324;0.000;25.53;263.528;2.269;-0.038;0.02;1076.410;25.58;70.188;0.000;25.58;
26/08/26 01:55;0.000;0.000;2.962;-0.026;-0.029;1076.410;25.276;70.324;0.000;25.276;263.528;2.915;-0.015;-0.034;1076.410;25.293;70.188;0.000;25.293;
26/08/26 01:56;0.000;0.000;2.529;-0.001;0.043;1076.410;25.486;70.324;0.000;25.486;263.528;1.843;0.001;-0.046;1076.410;25.493;70.188;0.000;25.493;
26/08/26 01:57;0.000;0.000;2.16;0.026;0.035;1076.410;25.417;70.324;0.000;25.417;263.528;2.479;-0.035;-0.04;1076.410;25.41;70.188;0.000;25.41;
26/08/26 01:58;0.000;0.000;3.437;-0.007;0.032;1076.410;25.511;70.324;0.000;25.511;263.528;2.446;-0.012;-0.012;1076.410;25.283;70.188;0.000;25.283;
26/08/26 01:59;0.000;0.000;1.918;-0.04;-0.014;1076.410;25.563;70.324;0.000;25.563;263.528;2.651;-0.048;-0.022;1076.410;25.542;70.188;0.000;25.542;
26/08/26 02:00;0.000;0.000;2.767;-0.03;0.041;1076.410;25.444;70.324;0.000;25.444;263.528;1.738;0.005;-0.046;1076.410;25.197;70.188;0.000;25.197;
26/08/26 02:01;0.000;0.000;3.422;0.035;0.012;1076.410;25.4;70.324;0.000;25.4;263.528;2.096;-0.031;0.037;1076.410;25.511;70.188;0.000;25.511;
26/08/26 02:02;0.000;0.000;2.27;-0.018;-0.005;1076.410;25.454;70.324;0.000;25.454;263.528;2.52;0.03;0.038;1076.410;25.402;70.188;0.000;25.402;
26/08/26 02:03;0.000;0.000;2.317;-0.022;0.007;1076.410;25.525;70.324;0.000;25.525;263.528;2.008;-0.048;0.03;1076.410;25.45;70.188;0.000;25.45;
26/08/26 02:04;0.000;0.000;2.236;-0.03;0.015;1076.410;25.385;70.324;0.000;25.385;263.528;1.869;0.001;0.039;1076.410;25.315;70.188;0.000;25.315;
26/08/26 02:05;0.000;0.000;2.347;0.008;-0.033;1076.410;25.8;70.324;0.000;25.8;263.528;1.763;-0.014;0.038;1076.410;25.466;70.188;0.000;25.466;
26/08/26 02:06;0.000;0.000;3.017;-0.019;-0.029;1076.410;25.54;70.324;0.000;25.54;263.528;2.748;-0.0;0.041;1076.410;25.486;70.188;0.000;25.486;
26/08/26 02:07;0.000;0.000;1.67;0.009;0.046;1076.410;25.501;70.324;0.000;25.501;263.528;2.241;0.045;-0.039;1076.410;25.266;70.188;0.000;25.266;
26/08/26 02:08;0.000;0.000;2.873;0.01;0.034;1076.410;25.438;70.324;0.000;25.438;263.528;2.301;0.039;-0.044;1076.410;25.135;70.188;0.000;25.135;
26/08/26 02:09;0.000;0.000;2.039;-0.043;0.016;1076.410;25.692;70.324;0.000;25.692;263.528;2.22;-0.037;-0.047;1076.410;25.373;70.188;0.000;25.373;
26/08/26 02:10;0.000;0.000;2.33;0.045;0.031;1076.410;25.489;70.324;0.000;25.489;263.528;3.262;-0.023;-0.048;1076.410;25.375;70.188;0.000;25.375;
26/08/26 02:11;0.000;0.000;2.467;-0.049;-0.029;1076.410;25.508;70.324;0.000;25.508;263.528;2.06;0.034;0.021;1076.410;25.622;70.188;0.000;25.622;
26/08/26 02:12;0.000;0.000;3.1;-0.036;0.026;1076.410;25.64;70.324;0.000;25.64;263.528;2.568;-0.008;-0.044;1076.410;25.314;70.188;0.000;25.314;
26/08/26 02:13;0.000;0.000;3.355;0.027;0.041;1076.410;25.554;70.324;0.000;25.554;263.528;1.969;0.034;-0.029;1076.410;25.341;70.188;0.000;25.341;
26/08/26 02:14;0.000;0.000;1.757;-0.032;-0.046;1076.410;25.611;70.324;0.000;25.611;263.528;1.682;-0.015;-0.019;1076.410;25.467;70.188;0.000;25.467;
26/08/26 02:15;0.000;0.000;2.111;-0.044;-0.029;1076.410;25.458;70.324;0.000;25.458;263.528;2.038;-0.038;-0.029;1076.410;25.313;70.188;0.000;25.313;
26/08/26 02:16;0.000;0.000;3.261;-0.035;-0.009;1076.410;25.575;70.324;0.000;25.575;263.528;2.831;0.024;-0.045;1076.410;25.41;70.188;0.000;25.41;
26/08/26 02:17;0.000;0.000;2.75;-0.001;-0.004;1076.410;25.302;70.324;0.000;25.302;263.528;2.561;-0.043;0.034;1076.410;25.383;70.188;0.000;25.383;
26/08/26 02:18;0.000;0.000;1.916;-0.039;0.031;1076.410;25.321;70.324;0.000;25.321;263.528;2.045;-0.009;0.033;1076.410;25.578;70.188;0.000;25.578;
26/08/26 02:19;0.000;0.000;2.581;-0.035;0.025;1076.410;25.65;70.324;0.000;25.65;263.528;2.305;-0.038;-0.04;1076.410;25.438;70.188;0.000;25.438;
26/08/26 02:20;0.000;0.000;2.98;0.0;-0.023;1076.410;25.541;70.324;0.000;25.541;263.528;2.106;0.034;-0.042;1076.410;25.398;70.188;0.000;25.398;
26/08/26 02:21;0.000;0.000;1.808;0.002;-0.048;1076.410;25.494;70.324;0.000;25.494;263.528;1.867;-0.045;0.012;1076.410;25.599;70.188;0.000;25.599;
26/08/26 02:22;0.000;0.000;3.097;0.032;-0.003;1076.410;25.359;70.324;0.000;25.359;263.528;1.712;-0.01;-0.017;1076.410;25.432;70.188;0.000;25.432;
26/08/26 02:23;0.000;0.000;2.876;-0.039;0.003;1076.410;25.584;70.324;0.000;25.584;263.528;1.895;-0.007;0.048;1076.410;25.63;70.188;0.000;25.63;
26/08/26 02:24;0.000;0.000;2.273;0.025;0.017;1076.410;25.363;70.324;0.000;25.363;263.528;3.063;-0.008;0.003;1076.410;25.425;70.188;0.000;25.425;
26/08/26 02:25;0.000;0.000;2.964;-0.032;-0.017;1076.410;25.589;70.324;0.000;25.589;263.528;2.228;-0.027;0.042;1076.410;25.376;70.188;0.000;25.376;
26/08/26 02:26;0.000;0.000;3.209;-0.015;0.016;1076.410;25.496;70.324;0.000;25.496;263.528;2.458;-0.05;-0.033;1076.410;25.474;70.188;0.000;25.474;
26/08/26 02:27;0.000;0.000;3.043;-0.038;0.005;1076.410;25.67;70.324;0.000;25.67;263.528;1.719;0.012;-0.006;1076.410;25.48;70.188;0.000;25.48;
26/08/26 02:28;0.000;0.000;2.414;0.015;0.016;1076.410;25.592;70.324;0.000;25.592;263.528;2.741;0.023;0.049;1076.410;25.335;70.188;0.000;25.335;
