Date,Year,Month,Day,DayOfWeek,MH_171C_MWh,MH_171DP1_MWh,MH_171DP2_MWh,MH_431_MWh,Primary_Energy_MWh,Specific_Yield_Psh
2021-02-19,2021,2,19,Friday,168.97,169.26,169.9,170.91,168.97,3.379
2021-02-20,2021,2,20,Saturday,204.36,204.7,205.56,206.78,204.36,4.087
2021-02-21,2021,2,21,Sunday,161.07,161.35,161.83,162.78,161.07,3.221
2021-02-22,2021,2,22,Monday,235.58,235.97,237.06,238.46,235.58,4.712
2021-02-23,2021,2,23,Tuesday,246.14,246.55,247.67,249.14,246.14,4.923
2021-02-24,2021,2,24,Wednesday,233.43,233.83,234.88,236.26,233.43,4.669
2021-02-25,2021,2,25,Thursday,233.55,233.95,235.0,236.4,233.55,4.671
2021-02-26,2021,2,26,Friday,229.03,229.43,230.45,231.82,229.03,4.581
2021-02-27,2021,2,27,Saturday,187.57,187.9,188.6,189.68,187.57,3.751
2021-02-28,2021,2,28,Sunday,181.55,181.87,182.56,183.64,181.55,3.631
2021-03-01,2021,3,1,Monday,150.88,151.15,151.62,152.52,150.88,3.018
2021-03-02,2021,3,2,Tuesday,131.5,131.72,132.1,132.92,131.5,2.63
2021-03-03,2021,3,3,Wednesday,142.31,142.55,143.02,143.87,142.31,2.846
2021-03-04,2021,3,4,Thursday,193.85,194.18,195.01,196.16,193.85,3.877
2021-03-05,2021,3,5,Friday,232.77,233.17,234.26,235.66,232.77,4.655
2021-03-06,2021,3,6,Saturday,261.56,262.0,263.34,264.92,261.56,5.231
2021-03-07,2021,3,7,Sunday,197.62,197.96,198.72,199.89,197.62,3.952
2021-03-08,2021,3,8,Monday,196.82,197.15,198.01,199.21,196.82,3.936
2021-03-09,2021,3,9,Tuesday,201.19,201.54,202.4,203.6,201.19,4.024
2021-03-10,2021,3,10,Wednesday,199.5,199.84,200.64,201.81,199.5,3.99
2021-03-11,2021,3,11,Thursday,256.41,256.84,258.14,259.7,256.41,5.128
2021-03-12,2021,3,12,Friday,197.05,197.38,198.13,199.29,197.05,3.941
2021-03-13,2021,3,13,Saturday,215.44,215.81,216.76,218.04,215.44,4.309
2021-03-14,2021,3,14,Sunday,185.41,185.74,186.41,187.49,185.41,3.708
2021-03-15,2021,3,15,Monday,210.81,211.18,212.04,213.28,210.81,4.216
2021-03-16,2021,3,16,Tuesday,171.34,171.64,172.19,173.18,171.34,3.427
2021-03-17,2021,3,17,Wednesday,230.22,230.62,231.61,232.96,230.22,4.604
2021-03-18,2021,3,18,Thursday,204.52,204.87,205.65,206.84,204.52,4.09
2021-03-19,2021,3,19,Friday,238.98,239.4,240.48,241.91,238.98,4.78
2021-03-20,2021,3,20,Saturday,222.77,223.19,224.22,225.58,222.77,4.455
2021-03-21,2021,3,21,Sunday,182.26,182.59,183.25,184.32,182.26,3.645
2021-03-22,2021,3,22,Monday,82.11,82.26,82.45,83.04,82.11,1.642
2021-03-23,2021,3,23,Tuesday,154.0,154.27,154.8,155.75,154.0,3.08
2021-03-24,2021,3,24,Wednesday,114.49,114.69,114.95,115.67,114.49,2.29
2021-03-25,2021,3,25,Thursday,154.9,155.17,155.65,156.56,154.9,3.098
2021-03-26,2021,3,26,Friday,178.67,178.97,179.61,180.65,178.67,3.573
2021-03-27,2021,3,27,Saturday,218.51,218.89,219.83,221.11,218.51,4.37
2021-03-28,2021,3,28,Sunday,244.88,245.31,246.44,247.92,244.88,4.898
2021-03-29,2021,3,29,Monday,259.13,259.58,260.88,262.46,259.13,5.183
2021-03-30,2021,3,30,Tuesday,261.74,262.2,263.53,265.14,261.74,5.235
2021-03-31,2021,3,31,Wednesday,251.66,252.1,253.4,254.93,251.66,5.033
2021-04-01,2021,4,1,Thursday,234.02,234.44,235.63,237.06,234.02,4.68
2021-04-02,2021,4,2,Friday,235.83,236.24,237.55,239.04,235.83,4.717
2021-04-03,2021,4,3,Saturday,237.42,237.83,238.96,240.38,237.42,4.748
2021-04-04,2021,4,4,Sunday,225.52,225.91,226.95,228.3,225.52,4.51
2021-04-05,2021,4,5,Monday,229.27,229.69,230.82,232.23,229.27,4.585
2021-04-06,2021,4,6,Tuesday,227.69,228.08,229.15,230.53,227.69,4.554
2021-04-07,2021,4,7,Wednesday,193.25,193.58,194.36,195.5,193.25,3.865
2021-04-08,2021,4,8,Thursday,123.74,123.95,124.35,125.15,123.74,2.475
2021-04-09,2021,4,9,Friday,259.64,260.08,261.4,262.99,259.64,5.193
2021-04-10,2021,4,10,Saturday,167.11,167.38,168.1,169.19,167.11,3.342
2021-04-11,2021,4,11,Sunday,205.4,205.75,206.6,207.83,205.4,4.108
2021-04-12,2021,4,12,Monday,227.39,227.78,228.75,230.12,227.39,4.548
2021-04-13,2021,4,13,Tuesday,253.86,254.3,255.62,257.2,253.86,5.077
2021-04-14,2021,4,14,Wednesday,261.26,261.72,263.06,264.66,261.26,5.225
2021-04-15,2021,4,15,Thursday,222.16,222.55,223.57,224.95,222.16,4.443
2021-04-16,2021,4,16,Friday,264.7,265.15,266.53,268.14,264.7,5.294
2021-04-17,2021,4,17,Saturday,263.18,263.63,264.96,266.56,263.18,5.264
2021-04-18,2021,4,18,Sunday,257.27,257.7,258.97,260.53,257.27,5.145
2021-04-19,2021,4,19,Monday,227.71,228.1,229.23,230.62,227.71,4.554
2021-04-20,2021,4,20,Tuesday,183.37,183.68,184.51,185.64,183.37,3.667
2021-04-21,2021,4,21,Wednesday,153.84,154.12,154.71,155.69,153.84,3.077
2021-04-22,2021,4,22,Thursday,239.02,239.44,240.74,242.28,239.02,4.78
2021-04-23,2021,4,23,Friday,221.51,221.88,222.89,224.21,221.51,4.43
2021-04-24,2021,4,24,Saturday,229.35,229.75,230.8,232.21,229.35,4.587
2021-04-25,2021,4,25,Sunday,238.69,239.12,240.24,241.68,238.69,4.774
2021-04-26,2021,4,26,Monday,178.0,178.3,178.98,180.09,178.0,3.56
2021-04-27,2021,4,27,Tuesday,198.62,198.95,199.78,201.02,198.62,3.972
2021-04-28,2021,4,28,Wednesday,199.61,199.95,200.71,201.89,199.61,3.992
2021-04-29,2021,4,29,Thursday,244.03,244.44,245.63,247.11,244.03,4.881
2021-04-30,2021,4,30,Friday,171.17,171.45,172.06,173.08,171.17,3.423
2021-05-01,2021,5,1,Saturday,182.29,182.59,183.25,184.31,182.29,3.646
2021-05-02,2021,5,2,Sunday,237.16,237.59,238.61,240.03,237.16,4.743
2021-05-03,2021,5,3,Monday,227.7,228.12,229.07,230.44,227.7,4.554
2021-05-04,2021,5,4,Tuesday,239.86,240.3,241.39,242.86,239.86,4.797
2021-05-05,2021,5,5,Wednesday,242.63,243.05,244.19,245.68,242.63,4.853
2021-05-06,2021,5,6,Thursday,172.68,172.98,173.59,174.65,172.68,3.454
2021-05-07,2021,5,7,Friday,224.24,224.63,225.59,226.95,224.24,4.485
2021-05-08,2021,5,8,Saturday,262.41,262.88,264.19,265.8,262.41,5.248
2021-05-09,2021,5,9,Sunday,246.37,246.8,247.97,249.45,246.37,4.927
2021-05-10,2021,5,10,Monday,267.25,267.71,269.09,270.73,267.25,5.345
2021-05-11,2021,5,11,Tuesday,276.12,276.61,278.1,279.82,276.12,5.522
2021-05-12,2021,5,12,Wednesday,237.19,237.62,238.67,240.1,237.19,4.744
2021-05-13,2021,5,13,Thursday,252.76,253.21,254.41,256.0,252.76,5.055
2021-05-14,2021,5,14,Friday,265.48,265.94,267.36,269.02,265.48,5.31
2021-05-15,2021,5,15,Saturday,248.38,248.82,250.03,251.59,248.38,4.968
2021-05-16,2021,5,16,Sunday,218.14,218.54,219.44,220.73,218.14,4.363
2021-05-17,2021,5,17,Monday,258.86,259.32,260.61,262.24,258.86,5.177
2021-05-18,2021,5,18,Tuesday,269.31,269.79,271.13,272.79,269.31,5.386
2021-05-19,2021,5,19,Wednesday,267.28,267.77,269.11,270.74,267.28,5.346
2021-05-20,2021,5,20,Thursday,248.82,249.27,250.46,251.98,248.82,4.976
2021-05-21,2021,5,21,Friday,204.58,204.95,205.86,207.13,204.58,4.092
2021-05-22,2021,5,22,Saturday,238.06,238.47,239.6,241.06,238.06,4.761
2021-05-23,2021,5,23,Sunday,175.58,175.88,176.6,177.71,175.58,3.512
2021-05-24,2021,5,24,Monday,217.09,217.45,218.54,219.91,217.09,4.342
2021-05-25,2021,5,25,Tuesday,170.54,170.84,171.5,172.57,170.54,3.411
2021-05-26,2021,5,26,Wednesday,262.14,262.6,264.0,265.64,262.14,5.243
2021-05-27,2021,5,27,Thursday,221.58,221.98,222.95,224.28,221.58,4.432
2021-05-28,2021,5,28,Friday,238.7,239.13,240.3,241.77,238.7,4.774
2021-05-29,2021,5,29,Saturday,266.86,267.34,268.78,270.43,266.86,5.337
2021-05-30,2021,5,30,Sunday,206.52,206.9,207.82,209.07,206.52,4.13
2021-05-31,2021,5,31,Monday,199.96,200.33,201.32,202.59,199.96,3.999
2021-06-01,2021,6,1,Tuesday,209.56,209.94,210.97,212.29,209.56,4.191
2021-06-02,2021,6,2,Wednesday,244.09,244.53,245.78,247.28,244.09,4.882
2021-06-03,2021,6,3,Thursday,220.43,220.82,221.87,223.21,220.43,4.409
2021-06-04,2021,6,4,Friday,226.72,227.11,228.37,229.8,226.72,4.534
2021-06-05,2021,6,5,Saturday,240.77,241.2,242.41,243.89,240.77,4.815
2021-06-06,2021,6,6,Sunday,197.9,198.26,199.08,200.27,197.9,3.958
2021-06-07,2021,6,7,Monday,152.79,153.06,153.55,154.48,152.79,3.056
2021-06-08,2021,6,8,Tuesday,165.33,165.61,166.18,167.16,165.33,3.307
2021-06-09,2021,6,9,Wednesday,108.26,108.45,108.72,109.43,108.26,2.165
2021-06-10,2021,6,10,Thursday,181.03,181.34,182.05,183.15,181.03,3.621
2021-06-11,2021,6,11,Friday,140.0,140.25,140.68,141.55,140.0,2.8
2021-06-12,2021,6,12,Saturday,172.1,172.4,172.95,173.99,172.1,3.442
2021-06-13,2021,6,13,Sunday,191.78,192.11,192.82,193.94,191.78,3.836
2021-06-14,2021,6,14,Monday,250.09,250.52,251.7,253.19,250.09,5.002
2021-06-15,2021,6,15,Tuesday,276.37,276.81,278.4,280.13,276.37,5.527
2021-06-16,2021,6,16,Wednesday,250.09,250.53,251.73,253.23,250.09,5.002
2021-06-17,2021,6,17,Thursday,221.85,222.24,223.4,224.82,221.85,4.437
2021-06-18,2021,6,18,Friday,259.68,260.14,261.47,263.09,259.68,5.194
2021-06-19,2021,6,19,Saturday,203.78,204.13,205.13,206.39,203.78,4.076
2021-06-20,2021,6,20,Sunday,194.64,194.97,195.7,196.84,194.64,3.893
2021-06-21,2021,6,21,Monday,273.26,273.72,275.16,276.86,273.26,5.465
2021-06-22,2021,6,22,Tuesday,192.29,192.62,193.57,194.83,192.29,3.846
2021-06-23,2021,6,23,Wednesday,269.49,269.97,271.37,273.05,269.49,5.39
2021-06-24,2021,6,24,Thursday,260.23,260.68,262.04,263.66,260.23,5.205
2021-06-25,2021,6,25,Friday,248.98,249.42,250.62,252.13,248.98,4.98
2021-06-26,2021,6,26,Saturday,244.84,245.27,246.52,248.02,244.84,4.897
2021-06-27,2021,6,27,Sunday,180.02,180.34,180.94,182.03,180.02,3.6
2021-06-28,2021,6,28,Monday,272.53,272.99,274.45,276.13,272.53,5.451
2021-06-29,2021,6,29,Tuesday,262.01,262.47,263.81,265.44,262.01,5.24
2021-06-30,2021,6,30,Wednesday,267.54,268.0,269.45,271.1,267.54,5.351
2021-07-01,2021,7,1,Thursday,267.75,268.22,269.62,271.28,267.75,5.355
2021-07-02,2021,7,2,Friday,233.95,234.35,235.55,237.01,233.95,4.679
2021-07-03,2021,7,3,Saturday,232.69,233.09,234.2,235.63,232.69,4.654
2021-07-04,2021,7,4,Sunday,237.53,237.96,239.11,240.56,237.53,4.751
2021-07-05,2021,7,5,Monday,116.73,116.95,117.22,117.94,116.73,2.335
2021-07-06,2021,7,6,Tuesday,127.82,128.06,128.44,129.23,127.82,2.556
2021-07-07,2021,7,7,Wednesday,209.28,209.65,210.59,211.85,209.28,4.186
2021-07-08,2021,7,8,Thursday,148.96,149.22,149.68,150.58,148.96,2.979
2021-07-09,2021,7,9,Friday,204.85,205.2,206.11,207.35,204.85,4.097
2021-07-10,2021,7,10,Saturday,210.71,211.08,212.09,213.38,210.71,4.214
2021-07-11,2021,7,11,Sunday,261.53,261.98,263.31,264.9,261.53,5.231
2021-07-12,2021,7,12,Monday,248.59,249.06,250.3,251.81,248.59,4.972
2021-07-13,2021,7,13,Tuesday,211.86,212.26,213.18,214.43,211.86,4.237
2021-07-14,2021,7,14,Wednesday,281.83,282.34,283.88,285.64,281.83,5.637
2021-07-15,2021,7,15,Thursday,233.55,233.97,235.13,236.55,233.55,4.671
2021-07-16,2021,7,16,Friday,144.98,145.26,145.99,146.95,144.98,2.9
2021-07-17,2021,7,17,Saturday,201.8,202.18,203.02,204.2,201.8,4.036
2021-07-18,2021,7,18,Sunday,244.19,244.63,245.95,247.47,244.19,4.884
2021-07-19,2021,7,19,Monday,226.55,226.97,227.96,229.29,226.55,4.531
2021-07-20,2021,7,20,Tuesday,102.46,102.68,102.94,103.6,102.46,2.049
2021-07-21,2021,7,21,Wednesday,132.5,132.78,133.27,134.11,132.5,2.65
2021-07-22,2021,7,22,Thursday,105.03,105.25,105.52,106.19,105.03,2.101
2021-07-23,2021,7,23,Friday,140.65,140.93,141.34,142.18,140.65,2.813
2021-07-24,2021,7,24,Saturday,107.34,107.56,107.84,108.52,107.34,2.147
2021-07-25,2021,7,25,Sunday,148.71,149.0,149.48,150.35,148.71,2.974
2021-07-26,2021,7,26,Monday,146.15,146.41,146.92,147.79,146.15,2.923
2021-07-27,2021,7,27,Tuesday,266.72,267.2,268.56,270.16,266.72,5.334
2021-07-28,2021,7,28,Wednesday,282.04,282.54,284.14,285.87,282.04,5.641
2021-07-29,2021,7,29,Thursday,286.77,287.29,288.88,290.67,286.77,5.735
2021-07-30,2021,7,30,Friday,269.2,269.68,271.1,272.77,269.2,5.384
2021-07-31,2021,7,31,Saturday,281.58,282.07,283.64,285.4,281.58,5.632
2021-08-01,2021,8,1,Sunday,202.03,202.41,203.22,204.39,202.03,4.041
2021-08-02,2021,8,2,Monday,252.79,253.27,254.56,256.13,252.79,5.056
2021-08-03,2021,8,3,Tuesday,182.13,182.47,183.17,184.25,182.13,3.643
2021-08-04,2021,8,4,Wednesday,156.9,157.2,157.73,158.67,156.9,3.138
2021-08-05,2021,8,5,Thursday,196.69,197.06,197.81,198.94,196.69,3.934
2021-08-06,2021,8,6,Friday,251.54,252.01,253.34,254.87,251.54,5.031
2021-08-07,2021,8,7,Saturday,249.86,250.35,251.59,253.13,249.86,4.997
2021-08-08,2021,8,8,Sunday,233.17,233.62,234.67,236.04,233.17,4.663
2021-08-09,2021,8,9,Monday,269.44,269.96,271.42,273.08,269.44,5.389
2021-08-10,2021,8,10,Tuesday,264.31,264.83,266.23,267.87,264.31,5.286
2021-08-11,2021,8,11,Wednesday,280.98,281.5,283.01,284.77,280.98,5.62
2021-08-12,2021,8,12,Thursday,268.73,269.24,270.65,272.32,268.73,5.375
2021-08-13,2021,8,13,Friday,254.24,254.73,256.04,257.6,254.24,5.085
2021-08-14,2021,8,14,Saturday,225.26,225.7,226.66,228.0,225.26,4.505
2021-08-15,2021,8,15,Sunday,254.56,255.03,256.35,257.94,254.56,5.091
2021-08-16,2021,8,16,Monday,265.33,265.83,267.18,268.81,265.33,5.307
2021-08-17,2021,8,17,Tuesday,266.72,267.23,268.56,270.19,266.72,5.334
2021-08-18,2021,8,18,Wednesday,241.99,242.46,243.54,244.99,241.99,4.84
2021-08-19,2021,8,19,Thursday,251.59,252.1,253.31,254.85,251.59,5.032
2021-08-20,2021,8,20,Friday,274.0,274.52,275.95,277.66,274.0,5.48
2021-08-21,2021,8,21,Saturday,227.52,227.93,228.98,230.36,227.52,4.55
2021-08-22,2021,8,22,Sunday,204.87,205.25,206.3,207.61,204.87,4.097
2021-08-23,2021,8,23,Monday,200.26,200.62,201.69,203.0,200.26,4.005
2021-08-24,2021,8,24,Tuesday,237.19,237.62,238.92,240.45,237.19,4.744
2021-08-25,2021,8,25,Wednesday,193.09,193.45,194.45,195.72,193.09,3.862
2021-08-26,2021,8,26,Thursday,234.77,235.2,236.44,237.91,234.77,4.695
2021-08-27,2021,8,27,Friday,157.4,157.69,158.21,159.14,157.4,3.148
2021-08-28,2021,8,28,Saturday,236.02,236.45,237.67,239.11,236.02,4.72
2021-08-29,2021,8,29,Sunday,167.63,167.95,168.57,169.56,167.63,3.353
2021-08-30,2021,8,30,Monday,230.85,231.28,232.45,233.87,230.85,4.617
2021-08-31,2021,8,31,Tuesday,186.06,186.42,187.19,188.3,186.06,3.721
2021-09-01,2021,9,1,Wednesday,196.64,197.0,198.07,199.33,196.64,3.933
2021-09-02,2021,9,2,Thursday,149.72,150.0,150.6,151.52,149.72,2.994
2021-09-03,2021,9,3,Friday,183.99,184.33,185.01,186.05,183.99,3.68
2021-09-04,2021,9,4,Saturday,227.98,228.4,229.6,231.0,227.98,4.56
2021-09-05,2021,9,5,Sunday,236.84,237.25,238.39,239.81,236.84,4.737
2021-09-06,2021,9,6,Monday,197.6,197.96,198.9,200.1,197.6,3.952
2021-09-07,2021,9,7,Tuesday,58.29,58.41,58.52,58.97,58.29,1.166
2021-09-08,2021,9,8,Wednesday,230.62,231.02,232.17,233.56,230.62,4.612
2021-09-09,2021,9,9,Thursday,127.53,127.76,128.23,129.04,127.53,2.551
2021-09-10,2021,9,10,Friday,162.49,162.78,163.33,164.25,162.49,3.25
2021-09-11,2021,9,11,Saturday,15.14,15.19,15.24,15.53,15.14,0.303
2021-09-12,2021,9,12,Sunday,149.53,149.79,150.2,151.08,149.53,2.991
2021-09-13,2021,9,13,Monday,241.7,242.13,243.36,244.83,241.7,4.834
2021-09-14,2021,9,14,Tuesday,239.29,239.71,240.94,242.37,239.29,4.786
2021-09-15,2021,9,15,Wednesday,238.71,239.14,240.32,241.73,238.71,4.774
2021-09-16,2021,9,16,Thursday,214.37,214.75,215.82,217.14,214.37,4.287
2021-09-17,2021,9,17,Friday,249.93,250.37,251.66,253.15,249.93,4.999
2021-09-18,2021,9,18,Saturday,150.13,150.39,150.95,151.85,150.13,3.003
2021-09-19,2021,9,19,Sunday,90.52,90.67,90.89,91.47,90.52,1.81
2021-09-20,2021,9,20,Monday,143.66,143.92,144.47,145.36,143.66,2.873
2021-09-21,2021,9,21,Tuesday,214.85,215.23,216.3,217.6,214.85,4.297
2021-09-22,2021,9,22,Wednesday,212.86,213.24,214.34,215.69,212.86,4.257
2021-09-23,2021,9,23,Thursday,19.13,19.16,19.2,19.51,19.13,0.383
2021-09-24,2021,9,24,Friday,148.99,149.25,149.83,150.75,148.99,2.98
2021-09-25,2021,9,25,Saturday,129.06,129.28,129.69,130.47,129.06,2.581
2021-09-26,2021,9,26,Sunday,140.72,140.96,141.41,142.25,140.72,2.814
2021-09-27,2021,9,27,Monday,213.36,213.75,214.64,215.88,213.36,4.267
2021-09-28,2021,9,28,Tuesday,141.08,141.33,141.89,142.77,141.08,2.822
2021-09-29,2021,9,29,Wednesday,228.67,229.07,230.18,231.57,228.67,4.573
2021-09-30,2021,9,30,Thursday,250.97,251.41,252.73,254.28,250.97,5.019
2021-10-01,2021,10,1,Friday,238.42,238.84,239.99,241.42,238.42,4.768
2021-10-02,2021,10,2,Saturday,236.98,237.42,238.54,239.93,236.98,4.74
2021-10-03,2021,10,3,Sunday,216.55,216.91,217.85,219.13,216.55,4.331
2021-10-04,2021,10,4,Monday,156.28,156.55,157.29,158.31,156.28,3.126
2021-10-05,2021,10,5,Tuesday,195.48,195.82,196.69,197.87,195.48,3.91
2021-10-06,2021,10,6,Wednesday,100.28,100.47,100.76,101.4,100.28,2.006
2021-10-07,2021,10,7,Thursday,57.07,57.18,57.29,57.71,57.07,1.141
2021-10-08,2021,10,8,Friday,111.2,111.41,111.73,112.4,111.2,2.224
2021-10-09,2021,10,9,Saturday,201.57,201.92,202.81,204.0,201.57,4.031
2021-10-10,2021,10,10,Sunday,128.11,128.32,128.66,129.43,128.11,2.562
2021-10-11,2021,10,11,Monday,155.88,156.17,156.68,157.56,155.88,3.118
2021-10-12,2021,10,12,Tuesday,147.87,148.15,148.73,149.63,147.87,2.957
2021-10-13,2021,10,13,Wednesday,87.17,87.34,87.54,88.1,87.17,1.743
2021-10-14,2021,10,14,Thursday,154.05,154.34,154.86,155.75,154.05,3.081
2021-10-15,2021,10,15,Friday,116.1,116.32,116.8,117.56,116.1,2.322
2021-10-16,2021,10,16,Saturday,159.01,159.29,159.85,160.75,159.01,3.18
2021-10-17,2021,10,17,Sunday,31.02,31.09,31.13,31.45,31.02,0.62
2021-10-18,2021,10,18,Monday,113.21,113.42,113.73,114.41,113.21,2.264
2021-10-19,2021,10,19,Tuesday,71.0,71.13,71.24,71.73,71.0,1.42
2021-10-20,2021,10,20,Wednesday,88.02,88.19,88.36,88.93,88.02,1.76
2021-10-21,2021,10,21,Thursday,89.85,90.04,90.21,90.76,89.85,1.797
2021-10-22,2021,10,22,Friday,37.29,37.37,37.45,37.78,37.29,0.746
